timestamp,volume,vw,open,close,high,low,transactions
2024-03-18 04:00:00,44083043.0,23.8248,23.77,24.0,24.18,23.32,190406
2024-03-19 04:00:00,43247249.0,23.4573,23.5,23.8,23.83,22.92,188965
2024-03-20 04:00:00,39673774.0,24.2133,23.77,24.57,24.65,23.67,171104
2024-03-21 04:00:00,37099608.0,24.8492,25.3,24.49,25.33,24.44,169997
2024-03-22 04:00:00,25453029.0,24.1926,24.2,24.18,24.475,24.02,124633
2024-03-25 04:00:00,29255903.0,24.418,24.12,24.51,24.62,24.05,136473
2024-03-26 04:00:00,43610464.0,24.9988,24.76,24.89,25.47,24.4702,187153
2024-03-27 04:00:00,38600086.0,24.5911,25.0,24.51,25.48,24.26,174823
2024-03-28 04:00:00,70008165.0,23.3216,24.17,23.01,24.28,22.94,331412
2024-04-01 04:00:00,41000029.0,22.7313,22.98,22.86,23.21,22.4,224234
2024-04-02 04:00:00,39770573.0,22.2648,22.0,22.72,22.79,21.72,198392
2024-04-03 04:00:00,30357412.0,22.7471,22.44,22.7,23.01,22.38,143068
2024-04-04 04:00:00,64995295.0,23.1265,23.82,22.48,24.1,22.4,264135
2024-04-05 04:00:00,38716824.0,22.9504,22.42,22.96,23.32,22.3065,173942
2024-04-08 04:00:00,25022708.0,23.0171,23.08,23.0,23.2,22.67,122774
2024-04-09 04:00:00,27724525.0,22.7567,23.01,22.81,23.0868,22.46,134831
2024-04-10 04:00:00,28642932.0,22.466,22.22,22.42,22.71,22.01,154904
2024-04-11 04:00:00,26399380.0,22.6507,22.65,22.84,22.91,22.25,129642
2024-04-12 04:00:00,36764458.0,22.744,22.7,22.67,23.2,22.41,160189
2024-04-15 04:00:00,38182078.0,22.3624,22.79,21.9,23.13,21.83,192520
2024-04-16 04:00:00,33869201.0,21.6866,21.59,21.88,21.99,21.27,163188
2024-04-17 04:00:00,30139797.0,21.5628,22.01,21.31,22.11,21.22,149546
2024-04-18 04:00:00,34550542.0,21.1157,21.25,21.13,21.43,20.7,156743
2024-04-19 04:00:00,39632591.0,20.7037,20.98,20.47,21.43,20.33,193851
2024-04-22 04:00:00,31894517.0,20.741,20.72,20.97,21.08,20.36,145603
2024-04-23 04:00:00,36304634.0,21.6974,21.25,21.64,22.06,21.23,164009
2024-04-24 04:00:00,34426476.0,21.7169,22.05,21.59,22.25,21.3,151065
2024-04-25 04:00:00,26226705.0,21.4008,20.82,21.71,21.7399,20.66,136763
2024-04-26 04:00:00,33119766.0,22.4003,22.05,22.52,22.67,21.91,149767
2024-04-29 04:00:00,30330698.0,22.7506,22.75,22.83,23.09,22.545,149663
2024-04-30 04:00:00,30511879.0,22.3001,22.77,21.97,22.87,21.95,148560
2024-05-01 04:00:00,34812852.0,22.1689,21.93,22.12,22.83,21.63,164603
2024-05-02 04:00:00,30396133.0,22.4906,22.6,22.55,22.715,22.1,144365
2024-05-03 04:00:00,55976409.0,23.2013,23.48,23.33,23.64,22.91,239061
2024-05-06 04:00:00,175936565.0,24.5997,24.37,25.21,25.355,24.03,713025
2024-05-07 04:00:00,161061622.0,21.7372,21.99,21.4,22.7,21.35,640397
2024-05-08 04:00:00,67582882.0,21.3548,21.58,21.56,21.73,21.06,272232
2024-05-09 04:00:00,54101937.0,21.2471,21.49,21.14,21.58,20.94,215157
2024-05-10 04:00:00,59845413.0,20.7805,21.27,20.6,21.37,20.5,251658
2024-05-13 04:00:00,37524809.0,20.9287,20.6,20.94,21.19,20.6,176397
2024-05-14 04:00:00,57894354.0,21.6057,20.95,21.44,22.07,20.93,239093
2024-05-15 04:00:00,39424029.0,21.5047,21.73,21.67,21.8099,21.185,167607
2024-05-16 04:00:00,27416677.0,21.7303,21.74,21.65,21.87,21.535,123425
2024-05-17 04:00:00,30032254.0,21.8386,21.78,21.76,22.1693,21.56,133489
2024-05-20 04:00:00,35255258.0,21.4328,21.77,21.62,21.77,21.22,165992
2024-05-21 04:00:00,27953962.0,21.243,21.34,21.24,21.45,21.12,133901
2024-05-22 04:00:00,25212469.0,21.2495,21.23,21.17,21.42,21.08,117023
2024-05-23 04:00:00,36887627.0,20.903,21.39,20.72,21.5198,20.63,178923
2024-05-24 04:00:00,22158712.0,20.9644,20.72,21.01,21.15,20.65,109152
2024-05-28 04:00:00,26274188.0,21.025,21.06,21.05,21.22,20.73,132448
2024-05-29 04:00:00,24834240.0,20.8627,20.77,20.94,20.99,20.64,133565
2024-05-30 04:00:00,47583129.0,21.5721,21.28,21.73,21.96,21.02,199958
2024-05-31 04:00:00,44416074.0,21.655,21.79,21.68,22.2,21.31,189060
2024-06-03 04:00:00,33876070.0,21.2958,21.7,21.32,21.79,21.005,167350
2024-06-04 04:00:00,41974047.0,21.818,21.05,22.1,22.26,21.04,175903
2024-06-05 04:00:00,39825392.0,22.6888,22.48,22.96,22.98,22.22,179531
2024-06-06 04:00:00,60400366.0,23.5732,22.98,23.79,23.95,22.98,249405
2024-06-07 04:00:00,37149877.0,23.2994,23.24,23.31,23.57,23.06,180010
2024-06-10 04:00:00,31509278.0,22.9579,22.75,23.13,23.16,22.66,162612
2024-06-11 04:00:00,30601852.0,23.5793,23.06,23.85,23.95,22.89,149061
